code,city,country,county,time_zone
02953,Bad Muskau,DE,Görlitz,W. Europe Standard Time
02953,Gablenz,DE,Görlitz,W. Europe Standard Time
02953,Groß Düben,DE,Görlitz,W. Europe Standard Time
02956,Rietschen,DE,Görlitz,W. Europe Standard Time
02957,Krauschwitz,DE,Görlitz,W. Europe Standard Time
02957,Weißkeißel,DE,Görlitz,W. Europe Standard Time
02959,Groß Düben,DE,Görlitz,W. Europe Standard Time
02959,Schleife,DE,Görlitz,W. Europe Standard Time
02959,Trebendorf,DE,Görlitz,W. Europe Standard Time
02959,Trebendorf - Trjebin,DE,Görlitz,W. Europe Standard Time
02977,Hoyerswerda,DE,Bautzen - Budyšin,W. Europe Standard Time
02977,Hoyerswerda - Wojerecy,DE,Bautzen - Budyšin,W. Europe Standard Time
02977,Hoyerswerda OT Schwarzkollm,DE,Bautzen - Budyšin,W. Europe Standard Time
02979,Elsterheide,DE,Bautzen - Budyšin,W. Europe Standard Time
02979,Elsterheide - Halštrowska Hola,DE,Bautzen - Budyšin,W. Europe Standard Time
02979,Spreetal,DE,Bautzen - Budyšin,W. Europe Standard Time
02991,Laubusch,DE,Bautzen - Budyšin,W. Europe Standard Time
02991,Lauta,DE,Bautzen - Budyšin,W. Europe Standard Time
02994,Bernsdorf,DE,Bautzen - Budyšin,W. Europe Standard Time
02997,Wittichenau,DE,Bautzen - Budyšin,W. Europe Standard Time
02999,Lohsa,DE,Bautzen - Budyšin,W. Europe Standard Time
04103,Leipzig,DE,Leipzig,W. Europe Standard Time
04105,Leipzig,DE,Leipzig,W. Europe Standard Time
04107,Leipzig,DE,Leipzig,W. Europe Standard Time
04109,Leipzig,DE,Leipzig,W. Europe Standard Time
04129,Leipzig,DE,Leipzig,W. Europe Standard Time
04155,Leipzig,DE,Leipzig,W. Europe Standard Time
04157,Leipzig,DE,Leipzig,W. Europe Standard Time
04158,Leipzig,DE,Leipzig,W. Europe Standard Time
04159,Leipzig,DE,Leipzig,W. Europe Standard Time
04177,Leipzig,DE,Leipzig,W. Europe Standard Time
04178,Leipzig,DE,Leipzig,W. Europe Standard Time
04179,Leipzig,DE,Leipzig,W. Europe Standard Time
04205,Leipzig,DE,Leipzig,W. Europe Standard Time
04207,Leipzig,DE,Leipzig,W. Europe Standard Time
04209,Leipzig,DE,Leipzig,W. Europe Standard Time
04229,Leipzig,DE,Leipzig,W. Europe Standard Time
04249,Leipzig,DE,Leipzig,W. Europe Standard Time
04275,Leipzig,DE,Leipzig,W. Europe Standard Time
04277,Leipzig,DE,Leipzig,W. Europe Standard Time
04279,Leipzig,DE,Leipzig,W. Europe Standard Time
04288,Leipzig,DE,Leipzig,W. Europe Standard Time
04289,Leipzig,DE,Leipzig,W. Europe Standard Time
04299,Leipzig,DE,Leipzig,W. Europe Standard Time
04315,Leipzig,DE,Leipzig,W. Europe Standard Time
04316,Leipzig,DE,Leipzig,W. Europe Standard Time
04317,Leipzig,DE,Leipzig,W. Europe Standard Time
04318,Leipzig,DE,Leipzig,W. Europe Standard Time
04319,Leipzig,DE,Leipzig,W. Europe Standard Time
04328,Leipzig,DE,Leipzig,W. Europe Standard Time
04329,Leipzig,DE,Leipzig,W. Europe Standard Time
04347,Leipzig,DE,Leipzig,W. Europe Standard Time
04349,Leipzig,DE,Leipzig,W. Europe Standard Time
04349,Leipzighttps://1drv.ms/f/s!AnbkZI14viUvgqQKP_Tnpsb_b6FiAg?e=URctUC,DE,Leipzig,W. Europe Standard Time
04356,Leipzig,DE,Leipzig,W. Europe Standard Time
04356,Leipzig -Göbschelwitz,DE,Leipzig,W. Europe Standard Time
04357,Leipzig,DE,Leipzig,W. Europe Standard Time
04416,Markkleeberg,DE,Landkreis Leipzig,W. Europe Standard Time
04420,Markranstädt,DE,Landkreis Leipzig,W. Europe Standard Time
04425,Taucha,DE,Nordsachsen,W. Europe Standard Time
04435,Schkeuditz,DE,Nordsachsen,W. Europe Standard Time
04442,Zwenkau,DE,Landkreis Leipzig,W. Europe Standard Time
04451,Borsdorf,DE,Landkreis Leipzig,W. Europe Standard Time
04463,Großpösna,DE,Landkreis Leipzig,W. Europe Standard Time
04509,Beerendorf,DE,Nordsachsen,W. Europe Standard Time
04509,Delitzsch,DE,Nordsachsen,W. Europe Standard Time
04509,Krostitz,DE,Nordsachsen,W. Europe Standard Time
04509,Löbnitz,DE,Nordsachsen,W. Europe Standard Time
04509,Schönwölkau,DE,Nordsachsen,W. Europe Standard Time
04509,Selben,DE,Nordsachsen,W. Europe Standard Time
04509,Wiedemar,DE,Nordsachsen,W. Europe Standard Time
04509,Wiesenena,DE,Nordsachsen,W. Europe Standard Time
04519,Rackwitz,DE,Nordsachsen,W. Europe Standard Time
04523,Elstertrebnitz,DE,Landkreis Leipzig,W. Europe Standard Time
04523,Pegau,DE,Landkreis Leipzig,W. Europe Standard Time
04539,Groitzsch,DE,Landkreis Leipzig,W. Europe Standard Time
04552,Borna,DE,Landkreis Leipzig,W. Europe Standard Time
04564,Böhlen,DE,Landkreis Leipzig,W. Europe Standard Time
04565,Regis-Breitingen,DE,Landkreis Leipzig,W. Europe Standard Time
04567,Kitzscher,DE,Landkreis Leipzig,W. Europe Standard Time
04571,Rötha,DE,Landkreis Leipzig,W. Europe Standard Time
04575,Neukieritzsch,DE,Landkreis Leipzig,W. Europe Standard Time
04575,Neukieritzsch-Kahnsdorf,DE,Landkreis Leipzig,W. Europe Standard Time
04575,Rötha,DE,Landkreis Leipzig,W. Europe Standard Time
04643,Geithain,DE,Landkreis Leipzig,W. Europe Standard Time
04651,Bad Lausick,DE,Landkreis Leipzig,W. Europe Standard Time
04654,Frohburg,DE,Landkreis Leipzig,W. Europe Standard Time
04668,Grimma,DE,Landkreis Leipzig,W. Europe Standard Time
04668,Otterwisch,DE,Landkreis Leipzig,W. Europe Standard Time
04668,Parthenstein,DE,Landkreis Leipzig,W. Europe Standard Time
04680,Colditz,DE,Landkreis Leipzig,W. Europe Standard Time
04683,Belgershain,DE,Landkreis Leipzig,W. Europe Standard Time
04683,Naunhof,DE,Landkreis Leipzig,W. Europe Standard Time
04687,Trebsen/Mulde,DE,Landkreis Leipzig,W. Europe Standard Time
04703,Leisnig,DE,Mittelsachsen,W. Europe Standard Time
04720,Döbeln,DE,Mittelsachsen,W. Europe Standard Time
04720,Großweitzschen,DE,Mittelsachsen,W. Europe Standard Time
04736,Waldheim,DE,Mittelsachsen,W. Europe Standard Time
04741,Roßwein,DE,Mittelsachsen,W. Europe Standard Time
04746,Hartha,DE,Mittelsachsen,W. Europe Standard Time
04749,Jahnatal,DE,Mittelsachsen,W. Europe Standard Time
04758,Cavertitz,DE,Nordsachsen,W. Europe Standard Time
04758,Liebschützberg,DE,Nordsachsen,W. Europe Standard Time
04758,Oschatz,DE,Nordsachsen,W. Europe Standard Time
04769,Mügeln,DE,Nordsachsen,W. Europe Standard Time
04769,Naundorf,DE,Nordsachsen,W. Europe Standard Time
04774,Dahlen,DE,Nordsachsen,W. Europe Standard Time
04779,Wermsdorf,DE,Nordsachsen,W. Europe Standard Time
04808,Lossatal,DE,Landkreis Leipzig,W. Europe Standard Time
04808,Thallwitz,DE,Landkreis Leipzig,W. Europe Standard Time
04808,Wurzen,DE,Landkreis Leipzig,W. Europe Standard Time
04821,Brandis,DE,Landkreis Leipzig,W. Europe Standard Time
04824,Beucha,DE,Landkreis Leipzig,W. Europe Standard Time
04824,Brandis,DE,Landkreis Leipzig,W. Europe Standard Time
04827,Machern,DE,Landkreis Leipzig,W. Europe Standard Time
04828,Bennewitz,DE,Landkreis Leipzig,W. Europe Standard Time
04838,Doberschütz,DE,Nordsachsen,W. Europe Standard Time
04838,Eilenburg,DE,Nordsachsen,W. Europe Standard Time
04838,Jesewitz,DE,Nordsachsen,W. Europe Standard Time
04838,Laußig,DE,Nordsachsen,W. Europe Standard Time
04838,Zschepplin,DE,Nordsachsen,W. Europe Standard Time
04849,Authausen,DE,Nordsachsen,W. Europe Standard Time
04849,Bad Düben,DE,Nordsachsen,W. Europe Standard Time
04849,Laußig,DE,Nordsachsen,W. Europe Standard Time
04860,Dreiheide,DE,Nordsachsen,W. Europe Standard Time
04860,Großwig,DE,Nordsachsen,W. Europe Standard Time
04860,Süptitz,DE,Nordsachsen,W. Europe Standard Time
04860,Torgau,DE,Nordsachsen,W. Europe Standard Time
04861,Torgau,DE,Nordsachsen,W. Europe Standard Time
04862,Mockrehna,DE,Nordsachsen,W. Europe Standard Time
04874,Belgern,DE,Nordsachsen,W. Europe Standard Time
04874,Belgern-Schildau,DE,Nordsachsen,W. Europe Standard Time
04880,Dommitzsch,DE,Nordsachsen,W. Europe Standard Time
04880,Elsnig,DE,Nordsachsen,W. Europe Standard Time
04880,Trossin,DE,Nordsachsen,W. Europe Standard Time
04886,Arzberg,DE,Nordsachsen,W. Europe Standard Time
04886,Beilrode,DE,Nordsachsen,W. Europe Standard Time
04889,Belgern-Schildau,DE,Nordsachsen,W. Europe Standard Time
07919,Mühltroff,DE,Vogtlandkreis,W. Europe Standard Time
07919,Pausa-Mühltroff,DE,Vogtlandkreis,W. Europe Standard Time
07952,Pausa-Mühltroff,DE,Vogtlandkreis,W. Europe Standard Time
07985,Elsterberg,DE,Vogtlandkreis,W. Europe Standard Time
08056,Zwickau,DE,Zwickau,W. Europe Standard Time
08058,Zwickau,DE,Zwickau,W. Europe Standard Time
08060,Zwickau,DE,Zwickau,W. Europe Standard Time
08062,Zwickau,DE,Zwickau,W. Europe Standard Time
08064,Zwickau,DE,Zwickau,W. Europe Standard Time
